TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME, OI
BERGEPAINT,20231006, 566.90, 568.00, 561.00, 565.35, 439072, 166454
BETA,20231006, 990.00, 1020.00, 966.60, 1010.00, 4800, 3400
BEWLTD,20231006, 1635.10, 1665.65, 1635.10, 1640.00, 1250, 1000
BFINVEST,20231006, 524.30, 527.80, 513.90, 514.95, 27571, 10275
BFSI,20231006, 20.60, 20.60, 19.40, 20.14, 151652, 119826
BFUTILITIE,20231006, 652.00, 652.00, 615.30, 632.15, 181603, 97884
BGRENERGY,20231006, 69.60, 74.50, 69.40, 72.50, 1275926, 452999
BHAGCHEM,20231006, 1420.00, 1520.95, 1385.40, 1492.85, 94055, 47029
BHAGERIA,20231006, 164.75, 164.75, 157.10, 158.50, 32974, 21652
BHAGYANGR,20231006, 68.10, 69.90, 67.00, 68.70, 14212, -
BHANDA-RE,20231006, 2.00, 2.05, 1.60, 1.80, 408282, -
BHANDARI,20231006, 6.25, 6.30, 6.00, 6.20, 398549, -
BHARATFORG,20231006, 1072.00, 1094.70, 1072.00, 1091.90, 993174, 196172
BHARATGEAR,20231006, 121.70, 121.95, 120.65, 120.95, 22353, 15848
BHARATRAS,20231006, 9371.00, 9467.80, 9300.00, 9313.30, 609, 295
BHARATWIRE,20231006, 264.80, 266.85, 258.65, 264.35, 173076, 90881
BHARTIARTL,20231006, 929.20, 929.20, 924.30, 926.05, 2420855, 1710934
BHEL,20231006, 128.10, 129.90, 127.55, 128.90, 13871322, 3054232
BIGBLOC,20231006, 184.50, 189.85, 179.40, 181.05, 597043, 216887
BIKAJI,20231006, 482.40, 484.50, 467.65, 470.60, 325467, 209661
BIL,20231006, 220.10, 223.15, 220.10, 223.15, 1863, -
BINANIIND,20231006, 15.00, 15.10, 15.00, 15.10, 1651, -
BIOCON,20231006, 264.00, 265.85, 262.60, 264.55, 1215958, 556781
BIOFILCHEM,20231006, 51.00, 55.90, 50.50, 53.95, 429485, 213176
BIRET,20231006, 240.01, 241.11, 238.80, 239.04, 117139, 100779
BIRLACABLE,20231006, 327.20, 329.80, 321.20, 324.40, 78399, 40240
BIRLACORPN,20231006, 1262.10, 1273.70, 1253.05, 1270.65, 81073, 46030
BIRLAMONEY,20231006, 83.00, 84.10, 76.10, 83.25, 432544, 178237
BIRLATYRE,20231006, 5.05, 5.05, 5.05, 5.05, 127250, -
BKMINDST,20231006, 0.75, 0.75, 0.70, 0.75, 204679, -
BLAL,20231006, 160.25, 160.30, 158.00, 159.00, 93361, 58495
BLBLIMITED,20231006, 23.45, 23.45, 22.50, 22.55, 101357, 79036
BLISSGVS,20231006, 89.45, 89.45, 88.10, 88.80, 96641, 65242
BLKASHYAP,20231006, 63.55, 69.75, 63.55, 68.60, 2197535, 977686
BLS,20231006, 244.50, 247.80, 242.70, 243.55, 1412449, 545126
BLUECHIP,20231006, 1.30, 1.30, 1.30, 1.30, 31193, -
BLUEDART,20231006, 6734.00, 6798.95, 6666.05, 6732.20, 6348, 2398
BLUESTARCO,20231006, 879.85, 883.60, 865.55, 872.40, 51568, 19432
BMETRICS,20231006, 128.85, 128.85, 122.80, 123.85, 14400, 11600
BODALCHEM,20231006, 81.75, 82.00, 80.80, 81.30, 251737, 125993
BOHRAIND,20231006, 50.60, 50.65, 50.60, 50.65, 423, -
BOMDYEING,20231006, 144.80, 147.20, 143.70, 145.45, 1685538, 643844
BOROLTD,20231006, 405.45, 415.95, 402.10, 413.05, 86920, 45546
BORORENEW,20231006, 430.10, 438.20, 430.10, 434.65, 294059, 100792
BOSCHLTD,20231006, 18970.00, 19342.00, 18900.00, 19303.95, 18284, 10057
BPCL,20231006, 345.00, 349.00, 344.00, 347.20, 1858538, 796289
BPL,20231006, 80.80, 83.45, 80.25, 82.05, 357420, 158297
BRIGADE,20231006, 583.45, 595.70, 580.95, 593.30, 176502, 87140
BRIGHT,20231006, 5.30, 5.45, 5.30, 5.30, 111000, 84000
BRITANNIA,20231006, 4533.85, 4549.45, 4515.00, 4538.45, 238131, 145119
BRNL,20231006, 40.50, 41.20, 40.00, 40.40, 68444, 36746
