TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME,OI
NAVINFLUOR-I,20231005,3769,3779.95,3633.7,3710.9,6554,1244250
NAVINFLUOR-II,20231005,3860,3860,3664.85,3717.4,359,55650
NAVINFLUOR-III,20231005,3820,3820,3690,3736.2,50,15300
NESTLEIND-I,20231005,23016.7,23150,22830.45,22985.35,1938,306600
NESTLEIND-II,20231005,23002.7,23149.95,22900,23014.4,72,20040
NESTLEIND-III,20231005,0,0,0,22945,0,0
NMDC-I,20231005,147.2,148.9,146.4,146.9,2326,107217000
NMDC-II,20231005,148.05,149.75,147.65,148.05,132,2241000
NMDC-III,20231005,150.2,150.75,149,149.1,10,292500
NTPC-I,20231005,236.25,238.1,233.1,235.05,5996,87609000
NTPC-II,20231005,238.15,239.3,235,236.55,184,1617000
NTPC-III,20231005,238.15,238.6,236.1,238.6,9,192000
OBEROIRLTY-I,20231005,1124.15,1151.55,1079.95,1094.25,6353,7584500
OBEROIRLTY-II,20231005,1144,1155,1086.75,1101.1,120,28700
OBEROIRLTY-III,20231005,0,0,0,1150.3,0,0
OFSS-I,20231005,4082.35,4103.75,4018.9,4035.75,444,367400
OFSS-II,20231005,4090,4090,4047,4063,4,4000
OFSS-III,20231005,4080,4080,4080,4080,1,400
ONGC-I,20231005,181.95,184.35,181.5,182.85,2599,43774500
ONGC-II,20231005,183.7,184.75,183.2,183.65,34,581350
ONGC-III,20231005,186,186,184.5,184.8,8,177100
PAGEIND-I,20231005,39528.4,39780,39200,39256.4,1314,172035
PAGEIND-II,20231005,39735,39930,39421.25,39481,29,1650
PAGEIND-III,20231005,40163.75,40163.75,39699,39699,2,60
PEL-I,20231005,1053,1073.75,1052.55,1065.25,2414,9744750
PEL-II,20231005,1070.8,1079,1061.6,1071.15,62,81750
PEL-III,20231005,0,0,0,1070,0,1500
PERSISTENT-I,20231005,5759.5,5800,5724.2,5754.5,1907,1143975
PERSISTENT-II,20231005,5775.25,5807.95,5736.55,5767.7,68,16975
PERSISTENT-III,20231005,5800,5800,5745.5,5746.3,5,1050
PETRONET-I,20231005,235.5,237.7,232.4,233.25,1151,19941000
PETRONET-II,20231005,237,237.65,234,234.55,66,393000
PETRONET-III,20231005,238.3,238.35,235,235,8,30000
PFC-I,20231005,246.35,247.95,240.95,241.85,3091,68796750
PFC-II,20231005,246.8,247.95,241.4,242.1,213,2588500
PFC-III,20231005,247,248,242.5,243.4,24,395250
PIDILITIND-I,20231005,2435.05,2446.05,2428,2439.15,1482,2254250
PIDILITIND-II,20231005,2455.5,2461,2447,2455.4,43,48500
PIDILITIND-III,20231005,2470,2470,2470,2470,1,3750
PIIND-I,20231005,3403.9,3427,3394.15,3399.05,507,2693750
PIIND-II,20231005,3428.5,3441.75,3425,3426,9,33250
PIIND-III,20231005,0,0,0,3480,0,1250
PNB-I,20231005,80.6,81.2,76.35,77.3,13001,286672000
PNB-II,20231005,81.3,81.75,77,77.85,1051,17200000
PNB-III,20231005,82.3,82.3,77.8,78.45,111,1952000
